reviewer_id,review,summarize,token_sentence,information,rating
10,"It shrinks Overall for the price itâs a cute sweater. Itâs stretchy enough to where you can pull it back to normal but itâs going to be an often occurrence. Itâs very soft and actually very comfy to wear.HOWEVER. This thing shrinks like heck in the dryer and it shows in the sleeves (which come up a couple inches). It also shrinks the neckline that will then hug your neck. One size fits all is a mild laugh, if you are any sort of busty then prepare to show that off. Very much wish there were sizes so I could go up one.Other than that not a horrible purchase for the colder months and something cute to wear thatâs not Xmas related.", One size fits all is a mild laugh . Overall for the price its a cute sweater . Its stretchy enough to where you can pull it back to normal but its going to be an often occurrence .,"● It shrinks Overall for the price its a cute sweater.
● This thing shrinks like heck in the dryer and it shows in the sleeves which come up a couple inches.
● It also shrinks the neckline that will then hug your neck.
● One size fits all is a mild laugh
● Very much wish there were sizes so I could go up one.Other than that not a horrible purchase for the colder months and something cute to wear thats not Xmas related.","● emotion:
	- xmas horrible cute/cute sweater (positive)
● other:
	- thing (positive)
	- horrible purchase/xmas horrible cute (positive)
	- horrible purchase (positive)
● experience:
	- size fit (positive)
● type:
	- cute sweater (positive)
● properties:
	- size fit (positive)
",5
11,Slip Dress was great but I don't have a flat butt so everyone I walk the slip rides up bad. It would be nice if the slip was sewn in. Might have to have this done on my own. I got lots of compliments on the dress it was super cute for the price., Slip Dress was great but I do not have a flat butt so everyone I walk the slip rides up bad . It would be nice if the slip was sewn in . Might have to have this done on my own .,"● Slip Dress was great
● t so everyone I walk the slip rides up bad.
● It would be nice if the slip was sewn in.
● I got lots of compliments on the dress it was super cute for the price.","● type:
	- slip dress (positive)
● emotion:
	- slip nice (positive)
● experience:
	- slip/slip nice/slip dress (positive)
",4
12,"Fits like maternity I wanted to love this, was so excited when i ordered it online. the fabric (blue and white) was beautiful, but the cut was bad. it fit me like a maternity top, and made me look like i was 6 months along. i have a feeling that the models had theirs pinned back, in the back, because it does not lay flat like that in front, it has a lot of fabric with no place to go but up and out. returning."," Fits like maternity I wanted to love this, was so excited when i ordered it online. The fabric blue and white was beautiful, but the cut was bad. It fit me like a maternity top, and made me look like i was 6 months along. It has a lot of fabric with no place to go but up","● but the cut was bad.
● it fit me like a maternity top
● and made me look like i was 6 months along.
● i have a feeling that the models had theirs pinned back
● it has a lot of fabric with no place to go but up and out.
● returning.","● emotion:
	- feeling (negative)
	- maternity top (positive)
● other:
	- place (negative)
",2
13,"Horribly made didnât even make it from the room to the hotel lobby If I could give it less stars I would absolutely horrible. Didnât even make it to the hotel lobby and it was falling apart. 3/6 grooms that wore it had isssues, seems coming undone, sippers breaking, the little adjusters on the waste falling apart!! Donât waste your time you will be disappointed."," Horribly made didnt even make it from the room to the hotel lobby . 3/6 grooms that wore it had isssues, seems coming undone, sippers breaking, the little adjusters on the waste falling apart!!","● Horribly made didnt even make it from the room to the hotel lobby If I could give it less stars I would absolutely horrible.
● Didnt even make it to the hotel lobby and it was falling apart.
● 3/6 grooms that wore it had isssues
● sippers breaking
● the little adjusters on the waste falling apart!!
● Dont waste your time you will be disappointed.","● application:
	- time (negative)
● service:
	- time (negative)
",1
14,Poor quality The turtle neck ripped half way off after one wearâ¦, The turtle neck ripped half way off after one wear . Poor quality of the turtle neck is evident in many of the pieces .,● Poor quality The turtle neck ripped half way off after one wear,"● experience:
	- wear (negative)
● other:
	- way (negative)
● emotion:
	- quality poor/poor quality/neck poor (negative)
● properties:
	- quality poor/poor quality (negative)
",1
15,Fit perfectly sheer like linen without all the wrinkles I ordered it in a 2X and black fit perfectly comfortable for a day now with a wedge sandal heel, Fit perfectly sheer like linen like linen without all the wrinkles . I ordered it in a 2X and black fit perfectly comfortable for a day now with a wedge sandal heel .,● Fit perfectly sheer like linen without all the wrinkles I ordered it in a 2X and black fit perfectly comfortable for a day now with a wedge sandal heel,"● other:
	- wedge sandal/sandal heel (positive)
",5
16,"Most comfortable sweater I have I will be buying another one of these. I love this sweater. Soft, warm, and stretchy."," Most comfortable sweater I have I will be buying another one of these . Soft, warm, and stretchy sweater .","● Most comfortable sweater I have I will be buying another one of these.
● I love this sweater.","● other:
	- comfortable sweater (positive)
● type:
	- sweater/comfortable sweater (positive)
",5
17,"Classic with a twist Beautiful pajama bottoms. i purchased these as a special treat for myself. luckily, i found a review on another site, stating that these run small, before pirchasing. no one wants tight pjs. order a size up! also, i'm 5'8"" tall and the length is just right. if you are taller, you may find this style too short. i haven't ordered the top, because i'm not sure of the fit, but i'm guessing it also runs small, based on the photo."," i am 5'8"" tall and the length is just right . If you are taller, you may find this style too short . i purchased these as a special treat for myself .","● Classic with a twist Beautiful pajama bottoms.
● i purchased these as a special treat for myself.
● i found a review on another site
● stating that these run small
● no one wants tight pjs.
● order a size up!
● i am 5'8"" tall and the length is just right.
● you may find this style too short.
● i have not ordered the top
● based on the photo.","● other:
	- one (negative)
	- order (positive)
	- review (negative)
● experience:
	- length (positive)
	- style (negative)
● emotion:
	- top (positive)
	- beautiful pajama (positive)
",5
18,Love the black I bought this in black and it did require me to wear a shirt underneath as it was a little sheer/see through. i usually wear an xs and i wore the same in this top. the black is very pretty and goes well with some skinny jeans., Love the black I bought this in black and it did require me to wear a shirt underneath as it was a little sheer/see through . The black is very pretty and goes well with some skinny jeans .,"● Love the black I bought this in black and it did require me to wear a shirt underneath as it was a little sheer/see through.
● the black is very pretty and goes well with some skinny jeans.","● other:
	- black (negative)
● type:
	- shirt (negative)
",5
19,"Cargo shorts material is too thin. At best this is a $10 pair of shorts, they belong on the clearance rack,"," Cargo shorts material is too thin . At best this is a 10 pair of shorts, they belong on the clearance rack .","● Cargo shorts material is too thin.
● At best this is a 10 pair of shorts
● they belong on the clearance rack","● properties:
	- short material (negative)
● other:
	- pair (positive)
	- short material (negative)
",2
20,Super cute! Wore to a wedding and it fit perfectly! Got some compliments as well which was nice! Fits right above the knee; when you raise your arms though it goes to the upper thigh., Wore to a wedding and it fit perfectly! Got some compliments as well which was nice! Fits right above the knee; when you raise your arms though it goes to the upper thigh .,● Fits right above the knee; when you raise your arms though it goes to the upper thigh.,"● experience:
	- fit right (positive)
	- arm (positive)
	- fit right (positive)
",5
21,"Disappointing quality I was so disappointed with the quality of this dress, especially because it looks so beautiful on the model. the fabric was so thin that after one hand wash, it's already developing a tiny hole and pilling. also, it is definitely not a ""day dress""--i wore it as a swim coverup, but it is much too thin and pajama-like to be worn as an actual dress. the color is much different in person--the blue is brighter and, for lack of a better way to describe it, cheap looking. the white banding around the t"," The fabric was so thin that after one hand wash, it is already developing a tiny hole and pilling . It is definitely not a ""day dress""--i wore it as a swim coverup, but it is much too thin and pajama-like to be worn as a dress .","● Disappointing quality I was so disappointed with the quality of this dress
● the fabric was so thin that after one hand wash
● it is already developing a tiny hole and pilling.
● it is definitely not a ""day dress""--i wore it as a swim coverup
● but it is much too thin and pajama-like to be worn as an actual dress.
● the color is much different in person--the blue is brighter and
● for lack of a better way to describe it
● cheap looking.","● service:
	- disappointing quality (negative)
● emotion:
	- good way (positive)
● other:
	- good way (positive)
	- day dress (negative)
	- cheap look (positive)
● application:
	- hand wash (negative)
● properties:
	- color (negative)
	- disappointing quality (negative)
	- fabric (negative)
● type:
	- actual dress/day dress (negative)
",2
22,Perfect! Certainly cute and flattering. I liked the softness and the way it fit., Perfect! Certainly cute and flattering. I liked the softness and the way it fit. Perfect! I liked it very much more than anything else .,●  ,,5
23,"Love these but color faded when washed I'm pretty disappointed in these. just bought the yellow pair and wore today for the first time. super cute and very comfortable. i was in love with them. they got two small stains on them from the day's activities ( and not even crazy, untreatable stains). unfortunately, the stains did not budge yet the color of the shorts washed out. they are completely ruined after one washing (on cold). i'm hoping this was a fluke and plan to order a second pair before they sell out. these will be going back", Love these but color faded when washed I am pretty disappointed in these . I am hoping this was a fluke and plan to order a second pair before they sell out .,"● color faded when washed I am pretty disappointed in these.
● just bought the yellow pair and wore today for the first time.
● they got two small stains on them from the day's activities  and not even crazy
● untreatable stains.
● the stains did not budge yet the color of the shorts washed out.
● they are completely ruined after one washing on cold.
● i am hoping this was a fluke and plan to order a second pair before they sell out.","● application:
	- first time (positive)
	- first time (positive)
	- short wash/wash (negative)
● service:
	- first time (positive)
● other:
	- untreatable stain/small stain/stain (negative)
	- short wash (negative)
	- yellow pair/second pair (positive)
● properties:
	- color fade (negative)
",3
24,The reviews were spot on. Read the reviews and order your size accordingly. I love this dress. Fits well., The reviews were spot on. Read the reviews and order your size accordingly . I love this dress. Fits well. I love it .,"● The reviews were spot on.
● Read the reviews and order your size accordingly.
● I love this dress.","● type:
	- dress (positive)
● other:
	- review (negative)
● properties:
	- size (negative)
",5
25,"Amazing dress but runs large Itâs so amazing!! It fits very nice, and the pockets!!! Iâm a little on the chunky size and it makes me look so good. You donât even need a bra with it. I measured at an xxl for size but a large fits perfect"," Amazing dress but runs large . It fits very nice, and the pockets!!! Im a little on the chunky size and it makes me look so good . You dont even need a bra with it .","● Amazing dress
● Im a little on the chunky size and it makes me look so good.
● You dont even need a bra with it.","● type:
	- amazing dress (positive)
	- chunky size (positive)
● properties:
	- chunky size (positive)
",5
26,So soft and luxurious I love this! Purchased in two colors., So soft and luxurious I love this! Purchased in two colors . Purchased from two colors. Purchased one of two colors for the occasion .,● Purchased in two colors.,"● other:
	- purchase (negative)
",5
27,"Absolutely beautiful and feminine This is not something i would normal wear but the beauty of the fabric made just give it a try. i am so glad i did. the fit is beautiful slimming feminine fit with just enough flow. i love it and bought it right away. you better get it before it's gone. also it is true to size, i have along torso so sometimes i have issues with jumpers but not this one.", This is not something i would normal wear but the beauty of the fabric made just give it a try . The fit is beautiful slimming feminine fit with just enough flow . You better get it before it is gone .,"● Absolutely beautiful and feminine This is not something i would normal wear
● the beauty of the fabric made just give it a try.
● the fit is beautiful slimming feminine fit with just enough flow.
● i have along torso so sometimes i have issues with jumpers but not this one.","● experience:
	- normal wear (positive)
	- feminine fit (positive)
● properties:
	- fabric (negative)
",5
28,Quality of product. After this item was cleaned the dye faded onto the blouse., After this item was cleaned the dye faded onto the blouse . Quality of product was not the best of the product .,"● Quality of product.
● After this item was cleaned the dye faded onto the blouse.","● properties:
	- quality (negative)
",2
29,Nice quality Very nice quality of fabric. Just what I was expecting. A bit expensive but very good quality., Very nice quality of fabric . Just what I was expecting . A bit expensive but very good quality. Nice quality .,"● Nice quality Very nice quality of fabric.
● very good quality.","● properties:
	- nice quality/good quality (positive)
● emotion:
	- nice quality (positive)
	- good quality (positive)
",5
30,"They wear well These pants wear well and fit great. I had then for 2 months and noticed a tear on the rear left pocket forcing me to dicard this pant after several washes. Unfortunatley,  these are not made to last"," These pants wear well and fit great. They wear well . I had then for 2 months and noticed a tear on the rear left pocket . Unfortunatley,  these are not made to last .","● They wear well These pants wear well and fit great.
● I had then for 2 months and noticed a tear on the rear left pocket forcing me to dicard this pant after several washes.","● experience:
	- pant wear (positive)
● type:
	- pant wear/pant (positive)
● properties:
	- leave pocket (negative)
● application:
	- several wash (negative)
● other:
	- several wash (negative)
",4
31,Poor material I returned these because the material was very stiff and itchy. Not soft at all., Poor material I returned these because the material was very stiff and itchy. Not soft at all. Poor material .,● Poor material I returned these because the material was very stiff and itchy.,"● emotion:
	- poor material/material poor (negative)
● properties:
	- poor material/material poor (negative)
",2
32,Sadly not for you if you are 5â1 and under 115lbs This dress just ate me alive :( quality was great and the straps had an adjustability to them which I loved because straps are always slightly too big on me if I canât adjust them. Unfortunately this style isnât for people on the smaller-ish side. There was just too much fabric and the price didnât make it worth getting tailored at all. Had to sadly return, Quality was great and straps had an adjustability to them which I loved because straps are always slightly too big on me if I cant adjust them . Unfortunately this style isnt for people on the smaller-ish side . Sadly not for you if you are 51 and under 115lbs .,"● Sadly not for you if you are 51 and under 115lbs This dress just ate me alive : quality was great and the straps had an adjustability to them which I loved because straps are always slightly too big on me if I cant adjust them.
● Unfortunately this style isnt for people on the smaller-ish side.
● There was just too much fabric and the price didnt make it worth getting tailored at all.","● type:
	- style isnt (negative)
	- dress sadly (positive)
● other:
	- dress sadly/cant sadly great/strap sadly great (positive)
● emotion:
	- cant sadly great/strap sadly great (positive)
● service:
	- price (positive)
● experience:
	- ish side (negative)
	- style isnt (negative)
● properties:
	- quality (positive)
	- much fabric (positive)
",2
33,"Cute vest but... Nice vest, pretty olive color, hangs nice but...its just kinda funny. just hangs and really looks odd when tied. i like the laying piece just wished it had more ""umph""."," Cute vest but... Nice vest, pretty olive color, hangs nice but...its just kinda funny . just hangs and really looks odd when tied . i like the laying piece just wished it had more ""umph"".","● Cute vest but... Nice vest
● pretty olive color
● i like the laying piece just wished it had more ""umph"".","● emotion:
	- cute vest (positive)
	- nice vest (positive)
● type:
	- nice vest/cute vest (positive)
● properties:
	- olive color (positive)
● application:
	- lay piece (positive)
",4
34,SUCKS Save yourself time and money! Itâs really bad and the material frays. Itâs very see through and the color is really red not maroon at all. But itâs also so thin it would definitely rip after a few washes on gentle and cold., Its very see through and the color is really red not maroon at all . Its also so thin it would definitely rip after a few washes on gentle and cold . Save yourself time and money!,"● SUCKS Save yourself time and money!
● Its really bad and the material frays.
● Its very see through and the color is really red not maroon at all.
● But its also so thin it would definitely rip after a few washes on gentle and cold.","● application:
	- time (negative)
	- few wash (negative)
● service:
	- time (negative)
● properties:
	- material fray (negative)
	- color (positive)
● emotion:
	- few wash (negative)
",1
35,"great summer dress Great summer dress!  fits true to size, fabric is soft and love the style."," Great summer dress fits true to size, fits true size, fabric is soft and love the style. great summer dress .","● great summer dress Great summer dress!
● fabric is soft and love the style.","● emotion:
	- great summer (positive)
● type:
	- summer dress (positive)
● properties:
	- fabric (positive)
● experience:
	- style (positive)
● application:
	- great summer/summer dress (positive)
",5
36,Work well One of the few brands my daughter will wear.  She says they're comfortable and work for her body type.  Seem durable., Work well One of the few brands my daughter will wear . She says they are comfortable and work for her body type . Seem durable .,"● Work well One of the few brands my daughter will wear.
● She says they are comfortable and work for her body type.","● type:
	- body type (positive)
● emotion:
	- few brand (negative)
",5
37,Really odd fit. Odd fit. Runs small, Really odd fit. Runs small . Runs small and runs small . Doesn't fit in the world. Doesn't seem to fit in .,"● Really odd fit.
● Odd fit.","● experience:
	- odd fit (positive)
",1
38,"My new favorite shirt Nice color.  Soft, yet strong material.  Cloth is thick enough that I don't fear ripping it or seeing through it, but not so thick that the shirt is too hot to wear.  Fit easily allows bringing my arms fully forward without concern of ripping the back.  Very happy with this purchase."," Cloth is thick enough that I do not fear ripping it or seeing through it, but not so thick that it is too thick that the shirt is too hot to wear . Soft, yet strong material . Fit easily allows bringing my arms fully forward without concern of ripping the back .","● My new favorite shirt Nice color.
● yet strong material.
● Cloth is thick enough that I do not fear ripping it or seeing through it
● but not so thick that the shirt is too hot to wear.
● Fit easily allows bringing my arms fully forward without concern of ripping the back.","● experience:
	- arm (positive)
● properties:
	- strong material (positive)
	- nice color (positive)
● emotion:
	- nice color (positive)
● type:
	- favorite shirt/shirt (positive)
",5
39,Love this dress! I bought this dress to wear to a wedding. I was skeptical because Iâm short and nothing I buy online ever works. I FREAKING LOVE THIS DRESS! Hugs all the good curves and fits well. 10/10 will wear this beauty again. Iâm 5 foot tall and weigh 135 lbs. I purchased a size small. There is a good amount of stretch and itâs super comfortable. The fabric isnât itchy. The slit is a little high for my comfort level but Iâm also rather conservative. You couldnât see anything but it was in the back of my mind that I didnât want to give anyone a âshowâ. You wonât regret this purchase., Love this dress! I bought this dress to wear to a wedding . Hugs all the good curves and fits well . 10/10 will wear this beauty again .,"● Love this dress!
● I bought this dress to wear to a wedding.
● I was skeptical because Im short and nothing I buy online ever works.
● I FREAKING LOVE THIS DRESS!
● Hugs all the good curves and fits well.
● 10/10 will wear this beauty again.
● I purchased a size small.
● There is a good amount of stretch and its super comfortable.
● The fabric isnt itchy.
● The slit is a little high for my comfort level
● You couldnt see anything
● it was in the back of my mind that I didnt want to give anyone a show.
● You wont regret this purchase.","● experience:
	- comfort level (negative)
● emotion:
	- good curve/good amount (positive)
● other:
	- show (negative)
	- love (positive)
	- purchase (negative)
● properties:
	- size (negative)
	- fabric isnt (negative)
● type:
	- dress (positive)
",5
40,"Too Big soft interior, comfortable and warm... but Too Big"," Too Big soft interior, comfortable and warm... but Too Big... but too big . Soft interior and comfortable interior are comfortable, warm and comfortable . Too Big: ""Soft interior"" is comfortable and comfortable, but too Big .",● Too Big soft interior,,4
41,Go a size up LOVE THIS DRESS!!! Very flattering!, Go a size up LOVE this dress!!! Very flattering! The size up is a size 14 . Go a plus size 14. Go a dress size 16 .,● Go a size up LOVE THIS DRESS!!!,"● properties:
	- size (positive)
",5
42,Perfect I absolutely love this dress. Tooting my own horn :) My style is 40s/50s and I looked wonderful at friends wedding.  Eye catching and stood out., Tooting her own horn: My style is 40s/50s and I looked wonderful at friends wedding . Eye catching and stood out. Perfect I absolutely love this dress .,"● Perfect I absolutely love this dress.
● Tooting my own horn : My style is 40s/50s and I looked wonderful at friends wedding.
● Eye catching and stood out.","● type:
	- dress (positive)
● experience:
	- style (positive)
",5
43,Closet staple This dress was perfect for the fall/winter. i wish i would have bought more colors. the fabric is soft and clings just enough. i lived in it this winter., This dress was perfect for the fall/winter . The fabric is soft and clings just enough. i wish i would have bought more colors .,"● Closet staple This dress was perfect for the fall/winter.
● i wish i would have bought more colors.
● the fabric is soft and clings just enough.","● other:
	- more color (positive)
● properties:
	- more color (positive)
	- fabric (negative)
● type:
	- dress (positive)
",5
44,"Fraying after 2 wears! I loved these pants.they are so comfortable. however, after just wearing them twice, the threads of the leaves are fraying, and leaving lint on whatever i sit on. the leaves at the seat of the pants are now slowly disappearing. this after wearing twice to work! i imagine after a few more wears that the leaves at the seat of the pants will be close to gone, or at least much less ""white"" with threads then the rest of the places. this is super unfortunate and will be returning. too bad, they were l"," Fraying after 2 wears! I loved these pants. They are so comfortable . The threads of the leaves are fraying, and leaving lint on whatever i sit on .","● Fraying after 2 wears!
● I loved these pants.they are so comfortable.
● the threads of the leaves are fraying
● and leaving lint on whatever i sit on.
● the leaves at the seat of the pants are now slowly disappearing.
● i imagine after a few more wears that the leaves at the seat of the pants will be close to gone","● type:
	- pants.they/pant (positive)
● experience:
	- more wear (positive)
● other:
	- more wear (positive)
",3
45,Such a beautiful dress I love this dress it is not too short itâs a perfect summer length . Sheer but not see thru. Itâs very flattering beautiful color and fabric. Amazing for it quality and price point, Such a beautiful dress I love this dress it is not too short its a perfect summer length . Sheer but not see thru. Its very flattering beautiful color and fabric . Amazing for it quality and price point .,"● Such a beautiful dress I love this dress it is not too short its a perfect summer length .
● Its very flattering beautiful color and fabric.
● Amazing for it quality and price point","● emotion:
	- perfect summer (positive)
	- beautiful color/dress beautiful/beautiful dress (positive)
● experience:
	- summer length (positive)
● service:
	- price point (negative)
● properties:
	- beautiful color (positive)
● type:
	- dress beautiful/beautiful dress (positive)
● application:
	- perfect summer/summer length (positive)
",5
46,"Great Fit Dress is as photo shows, on the thinner side for the material but not sheer at all. Smooth and true to size.", Great Fit Dress is on the thinner side for the material but not sheer at all . Smooth and true to size .,"● Great Fit Dress is as photo shows
● on the thinner side for the material but not sheer at all.","● other:
	- thinner side (negative)
	- photo show (positive)
● experience:
	- fit dress (positive)
	- thinner side (negative)
● type:
	- fit dress (positive)
",5
47,"Amazing dress but runs large Itâs so amazing!! It fits very nice, and the pockets!!! Iâm a little on the chunky size and it makes me look so good. You donât even need a bra with it. I measured at an xxl for size but a large fits perfect"," Amazing dress but runs large . It fits very nice, and the pockets!!! Im a little on the chunky size and it makes me look so good . You dont even need a bra with it .","● Amazing dress
● Im a little on the chunky size and it makes me look so good.
● You dont even need a bra with it.","● type:
	- amazing dress (positive)
	- chunky size (positive)
● properties:
	- chunky size (positive)
",5
48,Super cute pants I rarely write reviews but had to comment on these pants. these pilcro pants are my favorite for the fall and winter. they fit beautifully and are a great alternative to jeans. the pants are so comfortable and flattering. love the print and they are so versatile as they can be worn as very casual pants and can be dressed up. i am in my 60's and am always looking for clothes that are stylish without being too young looking for a woman my age. retailer is my favorite store!, These pilcro pants are my favorite for the fall and winter . They fit beautifully and are a great alternative to jeans . The pants are so comfortable and flattering .,"● Super cute pants I rarely write reviews
● these pilcro pants are my favorite for the fall and winter.
● they fit beautifully and are a great alternative to jeans.
● the pants are so comfortable and flattering.
● love the print and they are so versatile as they can be worn as very casual pants and can be dressed up.
● i am in my 60's and am always looking for clothes that are stylish without being too young looking for a woman my age.
● retailer is my favorite store!","● other:
	- print (negative)
	- pilcro pant (positive)
	- retailer (positive)
	- young look (positive)
	- casual pant (negative)
	- review (positive)
● emotion:
	- pant super cute/cute pant (positive)
	- great alternative (positive)
● type:
	- pant super cute/pilcro pant/casual pant/pant/cute pant (positive)
● application:
	- favorite store (positive)
",5
