reviewer_id,review,summarize,aspect,token_sentence,token_lemma,rating
10,"It shrinks Overall for the price itâs a cute sweater. Itâs stretchy enough to where you can pull it back to normal but itâs going to be an often occurrence. Itâs very soft and actually very comfy to wear.HOWEVER. This thing shrinks like heck in the dryer and it shows in the sleeves (which come up a couple inches). It also shrinks the neckline that will then hug your neck. One size fits all is a mild laugh, if you are any sort of busty then prepare to show that off. Very much wish there were sizes so I could go up one.Other than that not a horrible purchase for the colder months and something cute to wear thatâs not Xmas related.", One size fits all is a mild laugh . Overall for the price its a cute sweater . Its stretchy enough to where you can pull it back to normal but its going to be an often occurrence .,"couple inch, size fit, horrible purchase, xmas horrible cute, mild laugh, cute sweater, thing, much wish, colder month, neckline, thats","It shrinks Overall for the price its a cute sweater..
This thing shrinks like heck in the dryer and it shows in the sleeves which come up a couple inches..
It also shrinks the neckline that will then hug your neck..
One size fits all is a mild laugh.
Very much wish there were sizes so I could go up one.Other than that not a horrible purchase for the colder months and something cute to wear thats not Xmas related.","it shrink overall for the price its a cute sweater ..
this thing shrink like heck in the dryer and it show in the sleeve which come up a couple inch ..
it also shrink the neckline that will then hug your neck ..
one size fit all be a mild laugh.
very much wish there be size so i could go up one.other than that not a horrible purchase for the colder month and something cute to wear thats not xmas relate .",5
11,Slip Dress was great but I don't have a flat butt so everyone I walk the slip rides up bad. It would be nice if the slip was sewn in. Might have to have this done on my own. I got lots of compliments on the dress it was super cute for the price., Slip Dress was great but I do not have a flat butt so everyone I walk the slip rides up bad . It would be nice if the slip was sewn in . Might have to have this done on my own .,"slip, slip nice, lot, everyone, slip dress","Slip Dress was great.
t so everyone I walk the slip rides up bad..
It would be nice if the slip was sewn in..
I got lots of compliments on the dress it was super cute for the price.","slip dress be great.
t so everyone i walk the slip rid up bad ..
it would be nice if the slip be sew in ..
i get lot of compliment on the dress it be super cute for the price .",4
12,"Fits like maternity I wanted to love this, was so excited when i ordered it online. the fabric (blue and white) was beautiful, but the cut was bad. it fit me like a maternity top, and made me look like i was 6 months along. i have a feeling that the models had theirs pinned back, in the back, because it does not lay flat like that in front, it has a lot of fabric with no place to go but up and out. returning."," Fits like maternity I wanted to love this, was so excited when i ordered it online. The fabric blue and white was beautiful, but the cut was bad. It fit me like a maternity top, and made me look like i was 6 months along. It has a lot of fabric with no place to go but up","feeling, cut, return, place, lot, model, maternity top, month","but the cut was bad..
it fit me like a maternity top.
and made me look like i was 6 months along..
i have a feeling that the models had theirs pinned back.
it has a lot of fabric with no place to go but up and out..
returning.","but the cut be bad ..
it fit me like a maternity top.
and make me look like i be 6 month along ..
i have a feeling that the model have theirs pin back.
it have a lot of fabric with no place to go but up and out ..
return .",2
13,"Horribly made didnât even make it from the room to the hotel lobby If I could give it less stars I would absolutely horrible. Didnât even make it to the hotel lobby and it was falling apart. 3/6 grooms that wore it had isssues, seems coming undone, sippers breaking, the little adjusters on the waste falling apart!! Donât waste your time you will be disappointed."," Horribly made didnt even make it from the room to the hotel lobby . 3/6 grooms that wore it had isssues, seems coming undone, sippers breaking, the little adjusters on the waste falling apart!!","waste fall, groom, sipper break, hotel lobby, time, star, little adjuster, isssues","Horribly made didnt even make it from the room to the hotel lobby If I could give it less stars I would absolutely horrible..
Didnt even make it to the hotel lobby and it was falling apart..
3/6 grooms that wore it had isssues.
sippers breaking.
the little adjusters on the waste falling apart!!.
Dont waste your time you will be disappointed.","horribly make didnt even make it from the room to the hotel lobby if i could give it less star i would absolutely horrible ..
didnt even make it to the hotel lobby and it be fall apart ..
3/6 groom that wear it have isssues.
sipper break.
the little adjuster on the waste fall apart ! !.
dont waste your time you will be disappoint .",1
14,Poor quality The turtle neck ripped half way off after one wearâ¦, The turtle neck ripped half way off after one wear . Poor quality of the turtle neck is evident in many of the pieces .,"way, wear, turtle neck, quality poor, poor quality, neck poor",Poor quality The turtle neck ripped half way off after one wear,poor quality the turtle neck rip half way off after one wear,1
15,Fit perfectly sheer like linen without all the wrinkles I ordered it in a 2X and black fit perfectly comfortable for a day now with a wedge sandal heel, Fit perfectly sheer like linen like linen without all the wrinkles . I ordered it in a 2X and black fit perfectly comfortable for a day now with a wedge sandal heel .,"wedge sandal, sandal heel",Fit perfectly sheer like linen without all the wrinkles I ordered it in a 2X and black fit perfectly comfortable for a day now with a wedge sandal heel,fit perfectly sheer like linen without all the wrinkle i order it in a 2x and black fit perfectly comfortable for a day now with a wedge sandal heel,5
16,"Most comfortable sweater I have I will be buying another one of these. I love this sweater. Soft, warm, and stretchy."," Most comfortable sweater I have I will be buying another one of these . Soft, warm, and stretchy sweater .","sweater, comfortable sweater","Most comfortable sweater I have I will be buying another one of these..
I love this sweater.","most comfortable sweater i have i will be buy another one of these ..
i love this sweater .",5
17,"Classic with a twist Beautiful pajama bottoms. i purchased these as a special treat for myself. luckily, i found a review on another site, stating that these run small, before pirchasing. no one wants tight pjs. order a size up! also, i'm 5'8"" tall and the length is just right. if you are taller, you may find this style too short. i haven't ordered the top, because i'm not sure of the fit, but i'm guessing it also runs small, based on the photo."," i am 5'8"" tall and the length is just right . If you are taller, you may find this style too short . i purchased these as a special treat for myself .","style, state, tight pjs, top, base, review, order, beautiful pajama, pajama bottom, length, special treat, one","Classic with a twist Beautiful pajama bottoms..
i purchased these as a special treat for myself..
i found a review on another site.
stating that these run small.
no one wants tight pjs..
order a size up!.
i am 5'8"" tall and the length is just right..
you may find this style too short..
i have not ordered the top.
based on the photo.","classic with a twist beautiful pajama bottom ..
i purchase these as a special treat for myself ..
i find a review on another site.
state that these run small.
no one want tight pjs ..
order a size up !.
i be 5 ' 8 '' tall and the length be just right ..
you may find this style too short ..
i have not order the top.
base on the photo .",5
18,Love the black I bought this in black and it did require me to wear a shirt underneath as it was a little sheer/see through. i usually wear an xs and i wore the same in this top. the black is very pretty and goes well with some skinny jeans., Love the black I bought this in black and it did require me to wear a shirt underneath as it was a little sheer/see through . The black is very pretty and goes well with some skinny jeans .,"black, skinny jean, shirt","Love the black I bought this in black and it did require me to wear a shirt underneath as it was a little sheer/see through..
the black is very pretty and goes well with some skinny jeans.","love the black i buy this in black and it do require me to wear a shirt underneath as it be a little sheer/see through ..
the black be very pretty and go well with some skinny jean .",5
19,"Cargo shorts material is too thin. At best this is a $10 pair of shorts, they belong on the clearance rack,"," Cargo shorts material is too thin . At best this is a 10 pair of shorts, they belong on the clearance rack .","clearance rack, cargo, short material, pair","Cargo shorts material is too thin..
At best this is a 10 pair of shorts.
they belong on the clearance rack","cargo short material be too thin ..
at best this be a 10 pair of short.
they belong on the clearance rack",2
20,Super cute! Wore to a wedding and it fit perfectly! Got some compliments as well which was nice! Fits right above the knee; when you raise your arms though it goes to the upper thigh., Wore to a wedding and it fit perfectly! Got some compliments as well which was nice! Fits right above the knee; when you raise your arms though it goes to the upper thigh .,"fit right, arm, upper thigh",Fits right above the knee; when you raise your arms though it goes to the upper thigh.,fit right above the knee ; when you raise your arm though it go to the upper thigh .,5
21,"Disappointing quality I was so disappointed with the quality of this dress, especially because it looks so beautiful on the model. the fabric was so thin that after one hand wash, it's already developing a tiny hole and pilling. also, it is definitely not a ""day dress""--i wore it as a swim coverup, but it is much too thin and pajama-like to be worn as an actual dress. the color is much different in person--the blue is brighter and, for lack of a better way to describe it, cheap looking. the white banding around the t"," The fabric was so thin that after one hand wash, it is already developing a tiny hole and pilling . It is definitely not a ""day dress""--i wore it as a swim coverup, but it is much too thin and pajama-like to be worn as a dress .","disappointing quality, actual dress, color, day dress, good way, hand wash, tiny hole, fabric, cheap look, swim coverup","Disappointing quality I was so disappointed with the quality of this dress.
the fabric was so thin that after one hand wash.
it is already developing a tiny hole and pilling..
it is definitely not a ""day dress""--i wore it as a swim coverup.
but it is much too thin and pajama-like to be worn as an actual dress..
the color is much different in person--the blue is brighter and.
for lack of a better way to describe it.
cheap looking.","disappointing quality i be so disappointed with the quality of this dress.
the fabric be so thin that after one hand wash.
it be already develop a tiny hole and pilling ..
it be definitely not a `` day dress '' -- i wear it as a swim coverup.
but it be much too thin and pajama-like to be wear as an actual dress ..
the color be much different in person -- the blue be brighter and.
for lack of a good way to describe it.
cheap look .",2
22,Perfect! Certainly cute and flattering. I liked the softness and the way it fit., Perfect! Certainly cute and flattering. I liked the softness and the way it fit. Perfect! I liked it very much more than anything else .,,,,5
23,"Love these but color faded when washed I'm pretty disappointed in these. just bought the yellow pair and wore today for the first time. super cute and very comfortable. i was in love with them. they got two small stains on them from the day's activities ( and not even crazy, untreatable stains). unfortunately, the stains did not budge yet the color of the shorts washed out. they are completely ruined after one washing (on cold). i'm hoping this was a fluke and plan to order a second pair before they sell out. these will be going back", Love these but color faded when washed I am pretty disappointed in these . I am hoping this was a fluke and plan to order a second pair before they sell out .,"yellow pair, untreatable stain, fluke, color fade, first time, small stain, second pair, short wash, stain, wash","color faded when washed I am pretty disappointed in these..
just bought the yellow pair and wore today for the first time..
they got two small stains on them from the day's activities  and not even crazy.
untreatable stains..
the stains did not budge yet the color of the shorts washed out..
they are completely ruined after one washing on cold..
i am hoping this was a fluke and plan to order a second pair before they sell out.","color fade when wash i be pretty disappointed in these ..
just buy the yellow pair and wore today for the first time ..
they get two small stain on them from the day 's activity and not even crazy.
untreatable stain ..
the stain do not budge yet the color of the short wash out ..
they be completely ruin after one wash on cold ..
i be hop this be a fluke and plan to order a second pair before they sell out .",3
24,The reviews were spot on. Read the reviews and order your size accordingly. I love this dress. Fits well., The reviews were spot on. Read the reviews and order your size accordingly . I love this dress. Fits well. I love it .,"size, dress, review","The reviews were spot on..
Read the reviews and order your size accordingly..
I love this dress.","the review be spot on ..
read the review and order your size accordingly ..
i love this dress .",5
25,"Amazing dress but runs large Itâs so amazing!! It fits very nice, and the pockets!!! Iâm a little on the chunky size and it makes me look so good. You donât even need a bra with it. I measured at an xxl for size but a large fits perfect"," Amazing dress but runs large . It fits very nice, and the pockets!!! Im a little on the chunky size and it makes me look so good . You dont even need a bra with it .","chunky size, bra, amazing dress","Amazing dress.
Im a little on the chunky size and it makes me look so good..
You dont even need a bra with it.","amazing dress.
im a little on the chunky size and it make me look so good ..
you dont even need a bra with it .",5
26,So soft and luxurious I love this! Purchased in two colors., So soft and luxurious I love this! Purchased in two colors . Purchased from two colors. Purchased one of two colors for the occasion .,purchase,Purchased in two colors.,purchase in two color .,5
27,"Absolutely beautiful and feminine This is not something i would normal wear but the beauty of the fabric made just give it a try. i am so glad i did. the fit is beautiful slimming feminine fit with just enough flow. i love it and bought it right away. you better get it before it's gone. also it is true to size, i have along torso so sometimes i have issues with jumpers but not this one.", This is not something i would normal wear but the beauty of the fabric made just give it a try . The fit is beautiful slimming feminine fit with just enough flow . You better get it before it is gone .,"try, normal wear, beauty, issue, fabric, enough flow, feminine fit","Absolutely beautiful and feminine This is not something i would normal wear.
the beauty of the fabric made just give it a try..
the fit is beautiful slimming feminine fit with just enough flow..
i have along torso so sometimes i have issues with jumpers but not this one.","absolutely beautiful and feminine this be not something i would normal wear.
the beauty of the fabric make just give it a try ..
the fit be beautiful slimming feminine fit with just enough flow ..
i have along torso so sometimes i have issue with jumper but not this one .",5
28,Quality of product. After this item was cleaned the dye faded onto the blouse., After this item was cleaned the dye faded onto the blouse . Quality of product was not the best of the product .,"item, quality, dye fade","Quality of product..
After this item was cleaned the dye faded onto the blouse.","quality of product ..
after this item be clean the dye fade onto the blouse .",2
29,Nice quality Very nice quality of fabric. Just what I was expecting. A bit expensive but very good quality., Very nice quality of fabric . Just what I was expecting . A bit expensive but very good quality. Nice quality .,"nice quality, good quality","Nice quality Very nice quality of fabric..
very good quality.","nice quality very nice quality of fabric ..
very good quality .",5
30,"They wear well These pants wear well and fit great. I had then for 2 months and noticed a tear on the rear left pocket forcing me to dicard this pant after several washes. Unfortunatley,  these are not made to last"," These pants wear well and fit great. They wear well . I had then for 2 months and noticed a tear on the rear left pocket . Unfortunatley,  these are not made to last .","several wash, pant wear, rear leave, tear, leave pocket, pant","They wear well These pants wear well and fit great..
I had then for 2 months and noticed a tear on the rear left pocket forcing me to dicard this pant after several washes.","they wear well these pant wear well and fit great ..
i have then for 2 month and notice a tear on the rear leave pocket force me to dicard this pant after several wash .",4
31,Poor material I returned these because the material was very stiff and itchy. Not soft at all., Poor material I returned these because the material was very stiff and itchy. Not soft at all. Poor material .,"poor material, material poor",Poor material I returned these because the material was very stiff and itchy.,poor material i return these because the material be very stiff and itchy .,2
32,Sadly not for you if you are 5â1 and under 115lbs This dress just ate me alive :( quality was great and the straps had an adjustability to them which I loved because straps are always slightly too big on me if I canât adjust them. Unfortunately this style isnât for people on the smaller-ish side. There was just too much fabric and the price didnât make it worth getting tailored at all. Had to sadly return, Quality was great and straps had an adjustability to them which I loved because straps are always slightly too big on me if I cant adjust them . Unfortunately this style isnt for people on the smaller-ish side . Sadly not for you if you are 51 and under 115lbs .,"tailor, adjustability, price, style isnt, much fabric, dress sadly, quality, cant sadly great, ish side, strap sadly great, lbs","Sadly not for you if you are 51 and under 115lbs This dress just ate me alive : quality was great and the straps had an adjustability to them which I loved because straps are always slightly too big on me if I cant adjust them..
Unfortunately this style isnt for people on the smaller-ish side..
There was just too much fabric and the price didnt make it worth getting tailored at all.","sadly not for you if you be 51 and under 115lbs this dress just eat me alive : quality be great and the strap have an adjustability to them which i love because strap be always slightly too big on me if i cant adjust them ..
unfortunately this style isnt for people on the smaller-ish side ..
there be just too much fabric and the price didnt make it worth get tailor at all .",2
33,"Cute vest but... Nice vest, pretty olive color, hangs nice but...its just kinda funny. just hangs and really looks odd when tied. i like the laying piece just wished it had more ""umph""."," Cute vest but... Nice vest, pretty olive color, hangs nice but...its just kinda funny . just hangs and really looks odd when tied . i like the laying piece just wished it had more ""umph"".","lay piece, nice vest, umph, olive color, cute vest","Cute vest but... Nice vest.
pretty olive color.
i like the laying piece just wished it had more ""umph"".","cute vest but ... nice vest.
pretty olive color.
i like the lay piece just wish it have more `` umph '' .",4
34,SUCKS Save yourself time and money! Itâs really bad and the material frays. Itâs very see through and the color is really red not maroon at all. But itâs also so thin it would definitely rip after a few washes on gentle and cold., Its very see through and the color is really red not maroon at all . Its also so thin it would definitely rip after a few washes on gentle and cold . Save yourself time and money!,"material fray, few wash, time, color","SUCKS Save yourself time and money!.
Its really bad and the material frays..
Its very see through and the color is really red not maroon at all..
But its also so thin it would definitely rip after a few washes on gentle and cold.","suck save yourself time and money !.
its really bad and the material fray ..
its very see through and the color be really red not maroon at all ..
but its also so thin it would definitely rip after a few wash on gentle and cold .",1
35,"great summer dress Great summer dress!  fits true to size, fabric is soft and love the style."," Great summer dress fits true to size, fits true size, fabric is soft and love the style. great summer dress .","great summer, style, summer dress, fabric","great summer dress Great summer dress!.
fabric is soft and love the style.","great summer dress great summer dress !.
fabric be soft and love the style .",5
36,Work well One of the few brands my daughter will wear.  She says they're comfortable and work for her body type.  Seem durable., Work well One of the few brands my daughter will wear . She says they are comfortable and work for her body type . Seem durable .,"daughter well, body type, few brand","Work well One of the few brands my daughter will wear..
She says they are comfortable and work for her body type.","work well one of the few brand my daughter will wear ..
she say they be comfortable and work for her body type .",5
37,Really odd fit. Odd fit. Runs small, Really odd fit. Runs small . Runs small and runs small . Doesn't fit in the world. Doesn't seem to fit in .,odd fit,"Really odd fit..
Odd fit.","really odd fit ..
odd fit .",1
38,"My new favorite shirt Nice color.  Soft, yet strong material.  Cloth is thick enough that I don't fear ripping it or seeing through it, but not so thick that the shirt is too hot to wear.  Fit easily allows bringing my arms fully forward without concern of ripping the back.  Very happy with this purchase."," Cloth is thick enough that I do not fear ripping it or seeing through it, but not so thick that it is too thick that the shirt is too hot to wear . Soft, yet strong material . Fit easily allows bringing my arms fully forward without concern of ripping the back .","favorite shirt, shirt, strong material, nice color, arm, cloth","My new favorite shirt Nice color..
yet strong material..
Cloth is thick enough that I do not fear ripping it or seeing through it.
but not so thick that the shirt is too hot to wear..
Fit easily allows bringing my arms fully forward without concern of ripping the back.","my new favorite shirt nice color ..
yet strong material ..
cloth be thick enough that i do not fear rip it or see through it.
but not so thick that the shirt be too hot to wear ..
fit easily allow bring my arm fully forward without concern of rip the back .",5
39,Love this dress! I bought this dress to wear to a wedding. I was skeptical because Iâm short and nothing I buy online ever works. I FREAKING LOVE THIS DRESS! Hugs all the good curves and fits well. 10/10 will wear this beauty again. Iâm 5 foot tall and weigh 135 lbs. I purchased a size small. There is a good amount of stretch and itâs super comfortable. The fabric isnât itchy. The slit is a little high for my comfort level but Iâm also rather conservative. You couldnât see anything but it was in the back of my mind that I didnât want to give anyone a âshowâ. You wonât regret this purchase., Love this dress! I bought this dress to wear to a wedding . Hugs all the good curves and fits well . 10/10 will wear this beauty again .,"dress, fabric isnt, size, show, purchase, comfort level, beauty, anything, hug, anyone, good curve, good amount, work, love, slit","Love this dress!.
I bought this dress to wear to a wedding..
I was skeptical because Im short and nothing I buy online ever works..
I FREAKING LOVE THIS DRESS!.
Hugs all the good curves and fits well..
10/10 will wear this beauty again..
I purchased a size small..
There is a good amount of stretch and its super comfortable..
The fabric isnt itchy..
The slit is a little high for my comfort level.
You couldnt see anything.
it was in the back of my mind that I didnt want to give anyone a show..
You wont regret this purchase.","love this dress !.
i buy this dress to wear to a wedding ..
i be skeptical because im short and nothing i buy online ever work ..
i freak love this dress !.
hug all the good curve and fit well ..
10/10 will wear this beauty again ..
i purchase a size small ..
there be a good amount of stretch and its super comfortable ..
the fabric isnt itchy ..
the slit be a little high for my comfort level.
you couldnt see anything.
it be in the back of my mind that i didnt want to give anyone a show ..
you wont regret this purchase .",5
40,"Too Big soft interior, comfortable and warm... but Too Big"," Too Big soft interior, comfortable and warm... but Too Big... but too big . Soft interior and comfortable interior are comfortable, warm and comfortable . Too Big: ""Soft interior"" is comfortable and comfortable, but too Big .",soft interior,Too Big soft interior,too big soft interior,4
41,Go a size up LOVE THIS DRESS!!! Very flattering!, Go a size up LOVE this dress!!! Very flattering! The size up is a size 14 . Go a plus size 14. Go a dress size 16 .,size,Go a size up LOVE THIS DRESS!!!,go a size up love this dress ! ! !,5
42,Perfect I absolutely love this dress. Tooting my own horn :) My style is 40s/50s and I looked wonderful at friends wedding.  Eye catching and stood out., Tooting her own horn: My style is 40s/50s and I looked wonderful at friends wedding . Eye catching and stood out. Perfect I absolutely love this dress .,"style, friend, own horn, dress, eye","Perfect I absolutely love this dress..
Tooting my own horn : My style is 40s/50s and I looked wonderful at friends wedding..
Eye catching and stood out.","perfect i absolutely love this dress ..
toot my own horn : my style be 40s/50s and i look wonderful at friend wed ..
eye catching and stand out .",5
43,Closet staple This dress was perfect for the fall/winter. i wish i would have bought more colors. the fabric is soft and clings just enough. i lived in it this winter., This dress was perfect for the fall/winter . The fabric is soft and clings just enough. i wish i would have bought more colors .,"dress, closet staple, more color, fabric","Closet staple This dress was perfect for the fall/winter..
i wish i would have bought more colors..
the fabric is soft and clings just enough.","closet staple this dress be perfect for the fall/winter ..
i wish i would have buy more color ..
the fabric be soft and cling just enough .",5
44,"Fraying after 2 wears! I loved these pants.they are so comfortable. however, after just wearing them twice, the threads of the leaves are fraying, and leaving lint on whatever i sit on. the leaves at the seat of the pants are now slowly disappearing. this after wearing twice to work! i imagine after a few more wears that the leaves at the seat of the pants will be close to gone, or at least much less ""white"" with threads then the rest of the places. this is super unfortunate and will be returning. too bad, they were l"," Fraying after 2 wears! I loved these pants. They are so comfortable . The threads of the leaves are fraying, and leaving lint on whatever i sit on .","lint, leaf slowly, pants.they, more wear, leaf, fray, pant","Fraying after 2 wears!.
I loved these pants.they are so comfortable..
the threads of the leaves are fraying.
and leaving lint on whatever i sit on..
the leaves at the seat of the pants are now slowly disappearing..
i imagine after a few more wears that the leaves at the seat of the pants will be close to gone","fray after 2 wear !.
i love these pants.they be so comfortable ..
the thread of the leaf be fray.
and leave lint on whatever i sit on ..
the leaf at the seat of the pant be now slowly disappear ..
i imagine after a few more wear that the leaf at the seat of the pant will be close to go",3
