id,asin,name,rating,date,verified,title,body,helpfulVotes,sub_aspect,summary,summary_point,topic,key_topic
10,B07RT1X4FJ,Kal,1,"November 6, 2019",True,Item came defective,The iphone is in good condition externally. But internally there was a serious issue with the battery and Face id would never work. Make sure to check the phone battery and Face id feature working.,1.0,"face id, phone battery, good condition, item, serious issue, iphone, id feature, feature working", Item come defective .. the iphone be in good condition externally but internally there be a serious issue with the battery and face id would never work . Make sure to check the phone battery and  face id feature feature working .,"- Item came defective.
- The iphone is in good condition externally.
- But internally there was a serious issue with the battery and Face id would never work.
- Make sure to check the phone battery and Face id feature working.",8,"good, battery, iphone, issue"
11,B0775451TT,Joe Loter,5,"May 17, 2019",True,iPhone,"So far, so good.",1.0,iphone," iphone .. so far, so far. so good . so far . so good. so much . so . good .",- iPhone.,1,"good, iphone"
12,B01D1J9BGU,avadhut samant,1,"October 20, 2016",True,Mobile not working,I am not able switch on my mobile since today morning. The last used yesterday night and when I woke up in morning I found my mobile was totally dead even not charging also. Kindly help me to find the solution.,4.0,"mobile, yesterday night, able switch, today morning, solution", Mobile not work: i be not able switch on my mobile since today morning . Phone was last used yesterday night and when i wake up in morning i find my mobile be totally dead even not charge also .,"- I am not able switch on my mobile since today morning.
- The last used yesterday night and when I woke up in morning I found my mobile was totally dead even not charging also.
- Kindly help me to find the solution.",0,"work, battery, great, screen"
13,B014GCG150,Amazon Customer,1,"November 23, 2016",True,very disappointed,"One month after purchasing the pone, it stop working. Samsung people in chile told me that it cannot be fix and that it has a turkish software and has been internaly manipulated. i'm very disappointed.",4.0,"work, chile, people, turkish software", One month after purchase the pone pone stopped working . Samsung people in chile tell me that it can not be fix and that it have a turkish software and have be internaly manipulate .. i be very disappointed .,"- it stop working.
- Samsung people in chile told me that it cannot be fix and that it has a turkish software and has been internaly manipulated.",0,"work, battery, great, screen"
14,B07KB6S8YP,Fawad Asghar Khan,5,"November 14, 2019",True,Its awesome,Wonderful phone,2.0,wonderful phone," Its awesome .. wonderful phone . Its awesome ... wonderful phone. Its awesome, wonderful phone, its awesome, its amazing and wonderful . its awesome .",- Wonderful phone,0,"work, battery, great, screen"
15,B07JMPGNHK,tallwookie,5,"February 22, 2019",True,"good phone, functions as advertised","decent phone for the price, wish it didnt have as much uninstallable bloatware, but will likely just root and reimage it in a few months.",4.0,"good phone, uninstallable bloatware, few month, function, decent phone", good phone. function as advertised .. decent phone for the price . wish it didnt have as much uninstallable bloatware . Will likely just root and reimage it in a few month .,"- good phone
- functions as advertised.
- decent phone for the price
- wish it didnt have as much uninstallable bloatware
- but will likely just root and reimage it in a few months.",1,"good, iphone"
16,B076MB4CYN,Edward Laszkow,1,"August 11, 2019",True,Doesn't work.,"The phone I received came with with wifi broken. After numerous attempts to connect to multiple wifi connections, the phone refuses to actually connect. The wifi status is stuck in a connecting limbo, then immediately disconnects. I thought that since this was a Amazon Renewed product it would work, but I was wrong. Even after multiple factory resets, it still refuses to work.",3.0,"multiple factory, phone refuse, phone, wifi, amazon, factory reset, wifi connection, wifi status, numerous attempt, multiple wifi, doe", The phone i receive come with with wifi broken .. after numerous attempt to connect to multiple wifi connection. the phone refuse to actually connect .. the wifi status be stick in a connecting limbo then immediately disconnect . Even after multiple factory reset,"- Does not work..
- The phone I received came with with wifi broken.
- After numerous attempts to connect to multiple wifi connections
- the phone refuses to actually connect.
- The wifi status is stuck in a connecting limbo
- I thought that since this was a Amazon Renewed product it would work
- Even after multiple factory resets",0,"work, battery, great, screen"
17,B06XRJQX91,BsSA,1,"January 28, 2019",True,Honest disclosure was expected. Didn't happen.,"Tech Ventures lied to me. After being very cooperate exchanging iPhone for a Note 5, then assuring me a GOOD Note 5, I learned that the rep on the phone has NO IMPUT as to which Note 5 would sent to me. Her call goes to a warehouse where the cell is simply removed from the storage location. I received the first model of the Note 5. Trust me, NOT TECH VENTURES...this Note 5 is a mess except for e-audio books; no email/gmail & it changes words at will. They really dropped the ball.",1.0,"first model, good note, cell, rep, disclosure honest, honest disclosure, exchange iphone, note, phone, call, e-audio book, word, ball, imput, tech venture, storage location", Tech venture lie to me . After be very cooperate exchange iphone for a note 5 then assure me a good note 5 . i learn that the rep on the phone have no imput as to which note 5 would send,"- Honest disclosure was expected.
- Did not happen.. Tech Ventures lied to me.
- After being very cooperate exchanging iPhone for a Note 5
- then assuring me a GOOD Note 5
- I learned that the rep on the phone has NO IMPUT as to which Note 5 would sent to me.
- Her call goes to a warehouse where the cell is simply removed from the storage location.
- I received the first model of the Note 5.
- NOT TECH VENTURES...this Note 5 is a mess except for e-audio books; no email/gmail  it changes words at will.
- They really dropped the ball.",1,"good, iphone"
18,B01K5RGPIS,tYRannE,5,"May 4, 2017",True,Five Stars,Like a brand new phone. No issues found. Seems to be pretty friendly customer service.,1.0,"friendly customer, issue, customer service, new phone", five star .. like a brand new phone .. no issue find .. seems to be pretty friendly customer service . Seems to be a little bit more like a new phone .,"- Like a brand new phone.
- No issues found.
- Seems to be pretty friendly customer service.",6,"issue, good, samsung, great"
19,B00D35Z6OE,Shona Davis,1,"December 19, 2013",True,Broke after one month,"Piece of crap. worked for about a month then it quit 'ringing' ( or making any kind of noise at all) and YES we checked to see if it was on silent or turned down. also will just randomly cut me off and start blinking weird stuff on the screen, going 'in and out' (no its not the server, def the phone). Says the battery is fully charged and then 20 minutes later shows battery as drained. DO NOT WASTE YOUR MONEY ON THIS PHONE!",4.0,"weird stuff, minute, kind, piece, battery, work, month, money"," ""piece of crap"" work for about a month then it quit 'ringing ' or make any kind of noise at all . Also will just randomly cut me off and start blink weird stuff on the screen . Do not waste","- Broke after one month.
- Piece of crap.
- worked for about a month then it quit 'ringing'  or making any kind of noise at all and YES we checked to see if it was on silent or turned down.
- also will just randomly cut me off and start blinking weird stuff on the screen
- Says the battery is fully charged and then 20 minutes later shows battery as drained.
- DO NOT WASTE YOUR MONEY ON THIS PHONE!",0,"work, battery, great, screen"
20,B07BFCZYRM,William Lord,1,"February 26, 2019",True,Phone is unusable,Phone came with zero instructions or paperwork. Device cannot be activated because it does NOT have a SIM card. Am returning this embarrassing excuse for a quality product. if you read every line of the description you will find a snippet that indicates there is no SIM card. Very clever! Please note that you will have to get a modern nano SIM card to use this phone. Every refurbished Verizon phone I have purchased always came with activation instructions and a Verizon SIM card. Look for another phone that is ready to be activated.,24.0,"sim card, verizon sim, activation instruction, snippet, device, phone, line, modern nano, nano sim, verizon phone, quality product, embarrassing excuse, purchase", phone be unusable .. phone come with zero instruction or paperwork .. device can not be activate because it do not have a sim card . Am return this embarrassing excuse for a quality product .. if you read every line of the description,"- Phone is unusable.
- Phone came with zero instructions or paperwork.
- Device cannot be activated because it does NOT have a SIM card.
- Am returning this embarrassing excuse for a quality product.
- if you read every line of the description you will find a snippet that indicates there is no SIM card.
- Please note that you will have to get a modern nano SIM card to use this phone.
- Every refurbished Verizon phone I have purchased always came with activation instructions and a Verizon SIM card.",0,"work, battery, great, screen"
21,B00NKR9MJA,Lisa James-Owens,4,"November 3, 2017",True,Not a happy,I bought this in July and it died completely in October. Not a happy camper,1.0,happy camper, i buy this in july and it die completely in october .. not a happy camper . i bought this in July and it died completely in October . not a . happy .. i buy it in July . i buy,- Not a happy camper,0,"work, battery, great, screen"
22,B01LY3OB8D,Kindle Customer,1,"November 6, 2018",False,Kanga is a misleading site.,This phone is used but you have to dig to find that out. Beware of Kanga!,2.0,"phone, misleading site", kanga be a misleading site ... this phone be use. you have to dig to find that out . beware of kanga !,"- Kanga is a misleading site..
- This phone is used",0,"work, battery, great, screen"
23,B07WSJYDXX,J-Jammer,4,"December 29, 2018",True,Moto G6 2018 phone. Very nice good quality and nice camera,"This is a very nice phone. Purchase two as a gift. nicely made, modern look good camera. For the price it’s an awsum phone. Call quality from the receiver side is clear and nice. From caller side I’ve been told no issues. I cannot comment on the battery life as of yet, I’ve received no feed back. Over all phone was not loaded with all the bloatware. Clean phone with just the google apps. Not an iPhone by any means but a great android phone.",1.0,"good camera, good quality, caller side, quality, phone, purchase, receiver side, issue, modern look, nice camera, battery life, great android, feed back, moto g6, awsum phone, nice phone, google apps, android phone, clean phone", moto g6 2018 phone is very nice good quality and nice camera . Call quality from the receiver side be clear and nice . Not an iphone by any mean . Clean phone with just the google apps .,"- Moto G6 2018 phone.
- Very nice good quality and nice camera.
- This is a very nice phone.
- Purchase two as a gift.
- modern look good camera.
- For the price its an awsum phone.
- Call quality from the receiver side is clear and nice.
- From caller side Ive been told no issues.
- I cannot comment on the battery life as of yet
- Ive received no feed back.
- Over all phone was not loaded with all the bloatware.
- Clean phone with just the google apps.
- a great android phone.",8,"good, battery, iphone, issue"
24,B00KM10ITK,Bgirl99,4,"November 2, 2015",True,Four Stars,The product itself is great as I already have one.,1.0,product," four star .. the product itself be great as i already have one . The product itself would be great, as it already has one of its own .",- The product itself is great as I already have one.,3,"great, good, battery, screen"
25,B011AC4U7A,John C. Cernocky,4,"January 6, 2017",True,review of Samsung Galaxy 6 - refurbished 9by whom?),"phone/charger seem good, lack of ANY documentation was a disappointment. Samsungs' changing SIM size caused a slight problem. My problem is to find time setting up features utilizing info from the additional books I have subsequently acquired. Formerly wore out 2 Samsung Galaxy G3s (and an LG G3 (thanks, T-Mobile)).",5.0,"sim size, samsungs, documentation, feature, slight problem, phone, lg g3, g3 thanks, change sim, time, review, galaxy g3s, problem, samsung galaxy, charger, lack, info, additional book", review of samsung galaxy 6 - refurbish 9 by whom . phone or charger seem good . lack of any documentation be a disappointment . change sim size cause a slight problem .,"- review of Samsung Galaxy 6 - refurbished 9by whom.
- phone/charger seem good
- lack of ANY documentation was a disappointment.
- Samsungs' changing SIM size caused a slight problem.
- My problem is to find time setting up features utilizing info from the additional books I have subsequently acquired.
- Formerly wore out 2 Samsung Galaxy G3s and an LG G3 thanks",4,"good, samsung, screen, great, iphone"
26,B01ATTBXY8,donald mcniel,5,"July 31, 2016",True,Five Stars,THE PHONE CAME FAST AND WPRKS GREAT,2.0,phone," five star .. the phone came fast and wprks great. five star ... the phone comes fast and comes great . Five star phone is the phone that comes with the name ""Five Star phone""",- THE PHONE CAME FAST AND WPRKS GREAT,3,"great, good, battery, screen"
27,B07QK32C8M,Roberto H. Romero,5,"June 13, 2019",True,awesome phone,"The battery is 4000mAh . For all day , average use . This miui is pretty cool The android is updated The camera is fine Good, pretty and cheap Global model with LTE bands . Work good",5.0,"camera, miui, global model, battery, average use, awesome phone, android pretty cool, lte band", awesome phone .. the battery be 4000mah .. for all day. average use .. this miui be pretty cool the android be update the camera be fine good. pretty and cheap global model with lte band .. work good,"- awesome phone.
- The battery is 4000mAh .
- average use .
- This miui is pretty cool The android is updated The camera is fine Good
- pretty and cheap Global model with LTE bands .",8,"good, battery, iphone, issue"
28,B07WXKWDT2,markw707,1,"September 8, 2019",False,Moto G7 Play Freezes Every Time I Use It.,"Here is my Moto G7 Play complaint: It freezes every time I use it. Thus ""Normal Use"" of the Moto G7 Play means constantly having to restart it for even the simplest tasks.",2.0,"moto g7, g7 play, normal use, simple task, play freeze, play complaint", moto g7 play freeze every time i use it ... here be my moto . g7 . play complaint : It freeze every . time i . use it .. thus . have to restart it for even simple task .,"- Moto G7 Play Freezes Every Time I Use It..
- Here is my Moto G7 Play complaint: It freezes every time I use it.
- Thus ""Normal Use"" of the Moto G7 Play means constantly having to restart it for even the simplest tasks.",0,"work, battery, great, screen"
29,B07C2VFMN2,Scott Griepentrog,5,"February 6, 2019",True,Love this phone!,"I like the phone, it does Band71, the extra battery is wonderful. I usually am on 100% charge all day, with only the external battery cycling -- which means I can replace that when it eventually wears out and still have full battery life on the internal battery. I really like the moto mods also - just wish there was more of them.",1.0,"internal battery, moto mod, battery life, phone, band71, full battery, extra battery, external battery, battery cycling", i usually be on 100 charge all day. with only the external battery cycling -- which mean i can replace that when it eventually wear out and still have full battery life on the internal battery . i really like the moto mod,"- Love this phone!.
- I like the phone
- it does Band71
- the extra battery is wonderful.
- with only the external battery cycling -- which means I can replace that when it eventually wears out and still have full battery life on the internal battery.
- I really like the moto mods also - just wish there was more of them.",0,"work, battery, great, screen"
30,B01CYYYRNK,Craig Olson,2,"August 21, 2016",True,Mediocre at best. Design is not very attractive not innovative,"Mediocre at best. Design is not very attractive not innovative. The one and only reason to buy this phone is for the camera which is exceptional. Yes, it'd fast but there are plenty of other high end phones that blown this out of the water including the OnePlus Three that can basically be had for 3/4 the price. I reverted back to my Nexus 6P. That said, I've heard better things about the S7 edge and Note 7 but the note costs about 800 on contract and that is just absurd. Buy the 5x while the eBay sale is going on. You can get it for 200 new. If you want a bigger phone both the 6P and IPhone 6S are better. For a decent smaller sized the Oneplus Three is insanely fast with no bloat ware.",1.0,"small size, water, high end, big phone, design, end phone, plenty fast, s7 edge, ebay sale, phone, nexus 6p, oneplus, iphone 6s, only reason, good thing, bloat ware, note cost", The one and only reason to buy this phone be for the camera which be exceptional .. yes. it would fast but there be plenty of other high end phone that blow this out of the water include the oneplus three that can,"- Design is not very attractive not innovative.
- Design is not very attractive not innovative.
- The one and only reason to buy this phone is for the camera which is exceptional.
- it would fast but there are plenty of other high end phones that blown this out of the water including the OnePlus Three that can basically be had for 3/4 the price.
- I reverted back to my Nexus 6P.
- I have heard better things about the S7 edge and Note 7 but the note costs about 800 on contract and that is just absurd.
- Buy the 5x while the eBay sale is going on.
- If you want a bigger phone both the 6P and IPhone 6S are better.
- For a decent smaller sized the Oneplus Three is insanely fast with no bloat ware.",1,"good, iphone"
31,B06XS2GWFC,Carmeleta alexander,1,"June 2, 2018",True,One Star,Horrible phone,2.0,horrible phone," ""one star .. horrible phone. one star ... horrible phone"" ""One star"" is ""one of the worst phones in the world""",- Horrible phone,0,"work, battery, great, screen"
32,B00A2V7BA4,Amazon Customer,5,"September 5, 2016",True,Great back up phone,Can't believe I got this perfect phone so cheap. Got it as a back up and it's still a good buy.,1.0,"perfect phone, good buy", great back up phone .. can not believe i get this perfect phone so cheap . Get it as a back up and it be still a good buy .,"- Cannot believe I got this perfect phone so cheap.
- Got it as a back up and it is still a good buy.",3,"great, good, battery, screen"
33,B01CYYYRNK,elliot serpa,1,"January 29, 2018",True,Phone only lasted one month. Seller does not respond. Samsung warranty not valid.,"BUYER BEWARE. I ordered a ""brand new"" Samsung Galaxy S7 from TimeToCell for my father for Christmas from the seller and within a month the screen started going purple and no longer worked. Because I didn't give it to him until Christmas, it was outside of the 30 day return window. However, having bought it ""brand new"", I figured the Samsung one year manufacturer warranty would be good, but NOPE! When I contacted Samsung they took my IMEI number and told me the one year warranty had expired in August 2017.... I bought the phone in November 2017.... I have tried contacting the seller two times and both times received no response. Do not buy from this dealer.",142.0,"imei number, screen start, response, long work, galaxy s7, phone, return window, seller, year warranty, year manufacturer, year, time, contact, samsung galaxy, day return, manufacturer warranty, buyer", i order a '' brand new '' samsung galaxy s7 from timetocell for my father for christmas from the seller . Within a month the screen start go purple and no long work .. because i do not give it,"- Phone only lasted one month.
- Seller does not respond.
- BUYER BEWARE.
- I ordered a ""brand new"" Samsung Galaxy S7 from TimeToCell for my father for Christmas from the seller and within a month the screen started going purple and no longer worked.
- it was outside of the 30 day return window.
- I figured the Samsung one year manufacturer warranty would be good
- When I contacted Samsung they took my IMEI number and told me the one year warranty had expired in August 2017....
- I bought the phone in November 2017....
- I have tried contacting the seller two times and both times received no response.",7,"samsung, iphone, screen, great"
34,B07Q2WPMNB,Meredith Ye,5,"October 8, 2019",True,Great camera,I bought this phone beacuse of camera. And it does not make me disappointed. It works amazing! I am also a kpop fan so cant wait to use it during the concert!,2.0,"phone beacuse, great camera, cant, kpop fan", i buy this phone beacuse of camera .. and it do not make me disappointed .. it work amazing ! i be also a kpop fan so cant wait to use it during the concert !,"- Great camera.
- I bought this phone beacuse of camera.
- I am also a kpop fan so cant wait to use it during the concert!",3,"great, good, battery, screen"
35,B07VZL1W7K,BRP727,5,"November 5, 2019",True,Not the latest version of Samsung phone but the A50 does everthing expected.,I was hesitant originally to order an unlocked phone due to problems from other's experiences. This purchase was without any issues and worked perfectly out of the box.,8.0,"purchase, everthing, a50, late version, phone", The a50 do everthing expect ... i be hesitant originally to order an unlocked phone due to problem from other 's experience . This purchase be without any issue and work perfectly out of the box .,"- Not the latest version of Samsung phone
- the A50 does everthing expected..
- I was hesitant originally to order an unlocked phone due to problems from other's experiences.
- This purchase was without any issues and worked perfectly out of the box.",6,"issue, good, samsung, great"
36,B00ZE8HRYK,Amazon Customer,1,"September 15, 2016",True,Stolen Phone,Oh the phone was great I was very excited to have it. Until I was informed by ATT that it had been reported stolen 6 months ago so I can't use it with my network. Con artists.,2.0,"con artist, phone, month, report", Phone was stolen 6 months ago so i can not use it with my network . Phone was reported stolen 6 month ago so can not be used with network . Con artist is con artist .,"- Oh the phone was great I was very excited to have it.
- Until I was informed by ATT that it had been reported stolen 6 months ago so I cannot use it with my network.
- Con artists.",3,"great, good, battery, screen"
