Title,Review,Cons_rating,Cloth_class,Materials,Construction,Color,Finishing,Durability
Disappointing quality,"I was so disappointed with the quality of this dress, especially because it looks so beautiful on the model. the fabric was so thin that after one hand wash, it's already developing a tiny hole and pilling. also, it is definitely not a ""day dress""--i wore it as a swim coverup, but it is much too thin and pajama-like to be worn as an actual dress. the color is much different in person--the blue is brighter and, for lack of a better way to describe it, cheap looking. the white banding around the t",2.0,Lounge,1.0,0.0,1.0,0.0,1.0
Perfect! Certainly cute and flattering.,I liked the softness and the way it fit.,5.0,Sweaters,0.0,1.0,0.0,1.0,0.0
Love these but color faded when washed,"I'm pretty disappointed in these. just bought the yellow pair and wore today for the first time. super cute and very comfortable. i was in love with them. they got two small stains on them from the day's activities ( and not even crazy, untreatable stains). unfortunately, the stains did not budge yet the color of the shorts washed out. they are completely ruined after one washing (on cold). i'm hoping this was a fluke and plan to order a second pair before they sell out. these will be going back",3.0,Shorts,0.0,0.0,1.0,0.0,1.0
The reviews were spot on.,Read the reviews and order your size accordingly. I love this dress. Fits well.,5.0,Dresses,0.0,1.0,0.0,0.0,0.0
Amazing dress but runs large,"It’s so amazing!! It fits very nice, and the pockets!!! I’m a little on the chunky size and it makes me look so good. You don’t even need a bra with it. I measured at an xxl for size but a large fits perfect",5.0,Dresses,0.0,1.0,0.0,0.0,0.0
So soft and luxurious,I love this! Purchased in two colors.,5.0,Sweaters,0.0,0.0,1.0,0.0,0.0
Absolutely beautiful and feminine,"This is not something i would normal wear but the beauty of the fabric made just give it a try. i am so glad i did. the fit is beautiful slimming feminine fit with just enough flow. i love it and bought it right away. you better get it before it's gone. also it is true to size, i have along torso so sometimes i have issues with jumpers but not this one.",5.0,Pants,1.0,1.0,0.0,0.0,0.0
Quality of product.,After this item was cleaned the dye faded onto the blouse.,2.0,Blazer,0.0,0.0,0.0,0.0,1.0
Nice quality,Very nice quality of fabric. Just what I was expecting. A bit expensive but very good quality.,5.0,Sleep,1.0,0.0,0.0,0.0,0.0
They wear well,"These pants wear well and fit great. I had then for 2 months and noticed a tear on the rear left pocket forcing me to dicard this pant after several washes. Unfortunatley,  these are not made to last",4.0,Jeans,0.0,1.0,0.0,0.0,1.0
Poor material,I returned these because the material was very stiff and itchy. Not soft at all.,2.0,Pants,1.0,0.0,0.0,1.0,0.0
Sadly not for you if you are 5’1 and under 115lbs,This dress just ate me alive :( quality was great and the straps had an adjustability to them which I loved because straps are always slightly too big on me if I can’t adjust them. Unfortunately this style isn’t for people on the smaller-ish side. There was just too much fabric and the price didn’t make it worth getting tailored at all. Had to sadly return,2.0,Dresses,1.0,1.0,0.0,0.0,0.0
Cute vest but...,"Nice vest, pretty olive color, hangs nice but...its just kinda funny. just hangs and really looks odd when tied. i like the laying piece just wished it had more ""umph"".",4.0,Jackets,0.0,0.0,1.0,0.0,0.0
SUCKS,Save yourself time and money! It’s really bad and the material frays. It’s very see through and the color is really red not maroon at all. But it’s also so thin it would definitely rip after a few washes on gentle and cold.,1.0,Suits,1.0,0.0,1.0,0.0,1.0
great summer dress,"Great summer dress!  fits true to size, fabric is soft and love the style.",5.0,Dresses,0.0,1.0,0.0,1.0,0.0
Work well,One of the few brands my daughter will wear.  She says they're comfortable and work for her body type.  Seem durable.,5.0,Pants,0.0,0.0,0.0,1.0,1.0
Really odd fit.,Odd fit. Runs small,1.0,Dresses,0.0,1.0,0.0,0.0,0.0
My new favorite shirt,"Nice color.  Soft, yet strong material.  Cloth is thick enough that I don't fear ripping it or seeing through it, but not so thick that the shirt is too hot to wear.  Fit easily allows bringing my arms fully forward without concern of ripping the back.  Very happy with this purchase.",5.0,Shirts,1.0,1.0,1.0,1.0,1.0
Love this dress!,I bought this dress to wear to a wedding. I was skeptical because I’m short and nothing I buy online ever works. I FREAKING LOVE THIS DRESS! Hugs all the good curves and fits well. 10/10 will wear this beauty again. I’m 5 foot tall and weigh 135 lbs. I purchased a size small. There is a good amount of stretch and it’s super comfortable. The fabric isn’t itchy. The slit is a little high for my comfort level but I’m also rather conservative. You couldn’t see anything but it was in the back of my mind that I didn’t want to give anyone a “show”. You won’t regret this purchase.,5.0,Dresses,1.0,1.0,0.0,1.0,0.0
Too Big,"soft interior, comfortable and warm... but Too Big",4.0,Sweaters,1.0,1.0,0.0,1.0,0.0
Go a size up,LOVE THIS DRESS!!! Very flattering!,5.0,Dresses,0.0,1.0,0.0,0.0,0.0
Perfect,I absolutely love this dress. Tooting my own horn :) My style is 40s/50s and I looked wonderful at friends wedding.  Eye catching and stood out.,5.0,Dresses,0.0,1.0,0.0,0.0,0.0
Closet staple,This dress was perfect for the fall/winter. i wish i would have bought more colors. the fabric is soft and clings just enough. i lived in it this winter.,5.0,Dresses,0.0,0.0,1.0,1.0,0.0
Fraying after 2 wears!,"I loved these pants.they are so comfortable. however, after just wearing them twice, the threads of the leaves are fraying, and leaving lint on whatever i sit on. the leaves at the seat of the pants are now slowly disappearing. this after wearing twice to work! i imagine after a few more wears that the leaves at the seat of the pants will be close to gone, or at least much less ""white"" with threads then the rest of the places. this is super unfortunate and will be returning. too bad, they were l",3.0,Pants,0.0,0.0,0.0,0.0,1.0
Such a beautiful dress,I love this dress it is not too short it’s a perfect summer length . Sheer but not see thru. It’s very flattering beautiful color and fabric. Amazing for it quality and price point,5.0,Dresses,1.0,1.0,0.0,0.0,0.0
Great Fit,"Dress is as photo shows, on the thinner side for the material but not sheer at all. Smooth and true to size.",5.0,Dresses,1.0,1.0,0.0,0.0,0.0
Amazing dress but runs large,"It’s so amazing!! It fits very nice, and the pockets!!! I’m a little on the chunky size and it makes me look so good. You don’t even need a bra with it. I measured at an xxl for size but a large fits perfect",5.0,Dresses,0.0,1.0,0.0,0.0,0.0
Super cute pants,I rarely write reviews but had to comment on these pants. these pilcro pants are my favorite for the fall and winter. they fit beautifully and are a great alternative to jeans. the pants are so comfortable and flattering. love the print and they are so versatile as they can be worn as very casual pants and can be dressed up. i am in my 60's and am always looking for clothes that are stylish without being too young looking for a woman my age. retailer is my favorite store!,5.0,Jeans,0.0,1.0,0.0,1.0,0.0
Ummmm no,Maybe if you are tiny!!!  I felt like a huge garbage bag!!!  Not flattering at all.  Too big as well.,1.0,Dresses,0.0,1.0,0.0,0.0,0.0
Pretty,Great color. It isn’t a loose as I thought but I really like it. Super comfortable.,5.0,Dresses,0.0,0.0,1.0,1.0,0.0
Buttons,The buttons are not sewn on good at all. They fell out after wearing a few times.,3.0,Sweaters,0.0,1.0,0.0,0.0,1.0
Love the print & style,I tried this on the other day at the local store in a size xs/s. although it's wool i didn't notice that is was itchy & usually wool bothers me. i am of small build but i did like the long & oversized look. i admit i am drawn to the print anyways. i noticed the right armhole was larger than the left so i tried on another xs/s - it was the same. probably the armholes will be smaller in the petite sizes. i decided to make other purchases but will order the petite xs/s in a few wks since the invent,5.0,Fine gauge,1.0,1.0,0.0,0.0,0.0
The perfect purple piece,I got the dark purple color of this top and it is perfect! i wear it all the time. it's comfortable and it's cute! plus if it gets cold i can throw a warm sweater on top of it.,5.0,Knits,0.0,0.0,1.0,1.0,0.0
$15 max if I bought it at WalMart - poor quality,"Cheap quality, overpriced, don't expect to get more than 3 washes on delicate cycle out of this.",2.0,Sweaters,0.0,0.0,0.0,0.0,1.0
Casual comfortable dress,Bought this dress to wear when it was warm instead of capris or shorts,5.0,Dresses,0.0,0.0,0.0,0.0,0.0
An almost for me...,"I didn't end up keeping this dress...it just wasn't right for me. it is very cute and fit well but the fabric was very thin (partially lined which is a plus) and the hem line coming up on the sides made it just too short for me. i ordered the petite xs and liked the length in front and back well but the side slit/vent was just too high for my liking. the tie part hit at the perfect spot for me at only 5'4"" (~118#). i guess i just didn't ""love"" it and would rather save my funds for something i ca",3.0,Dresses,1.0,1.0,0.0,1.0,0.0
Rough and uncomfortable,Feels cheap and like sandpaper. I wouldn’t waste my money on this. Will be returning.,2.0,Shorts,0.0,0.0,0.0,1.0,0.0
It's a t shirt.,It's a t shirt,5.0,Shirts,0.0,0.0,0.0,0.0,0.0
Cheaply Made / Unconfortable,"The side zipper comes all the way up into your armpit, I am large chested so I ordered an xxl - it was very baggy in the chest & the thin material seemed to hug in the wrong places. Also the pockets, because the dress is so thin the pockets kind of bowed out so it gave you extra love handles. The material also snagged - but it was single threads that pulled - for being one thread it still was very noticeable - there are better dresses pass on this",1.0,Dresses,1.0,1.0,0.0,0.0,0.0
So cute!!!,Doctors appt,5.0,Dresses,0.0,0.0,0.0,0.0,0.0
Large,The jacket itself is very good quality it's super large. I'm returning it and sizing down 1 or 2 sizes.,4.0,Sweaters,0.0,1.0,0.0,0.0,0.0
Arrived Stained!,I purchased the red one and love it. The white arrived with several stains all over the front.,3.0,Dresses,0.0,0.0,1.0,0.0,0.0
Fabric is beautiful. Well made and flattering.,"This dress is not sheer at all so nothing required underneath. It does have some stretch as it is the nature of the fabric. However, stretching it to fit would not be flattering. Buy your true size. You won’t be disappointed. It’s well made for the price. Was pleasantly surprised.",5.0,Dresses,1.0,0.0,0.0,1.0,0.0
Awesome top,"Saw this online and had to try it on when i found it in the store. i usually wear an 8 or a 10 depending on how things run, (i'm a 34 dd), so i tried on both sizes. i really could not see much of a difference between the two and was torn as to which size to get. the 10 was just a tad looser so i went with that one, but seriously i could not find or feel much of a difference. it is a very figure flattering top, and a plus that you can machine wash it. simply awesome!",5.0,Blouses,0.0,1.0,0.0,0.0,0.0
"Comfy fit, be careful when you wash them","I love these pilcro pants. i had them in two colors, both beige and khaki. super comfy, and they stretch out a little around the waist with wearing. however, i recently ruined both sets in the wash because i used a stain-stick remover to try to get some grease spots out of them. the stain stick instead lifted the dye off of them! now i have two sets of pants with odd light splotches on them...so sad they aren't more color-fast :(",5.0,Pants,1.0,0.0,0.0,1.0,1.0
Love it,Very comfortable and flattering fit. My daughter that does not wear dresses loved it so much so has adopted it as her own and I will be buying another.,5.0,Dresses,0.0,1.0,0.0,0.0,0.0
it's not very well made,it's a little too baggy in the waist area,3.0,Sweaters,0.0,1.0,0.0,0.0,0.0
Not great quality,"These are fine, but they are not the durable quality I would have expected from Columbia. They are fine, but I anticipate them only lasting one or two seasons.",3.0,Shorts,0.0,0.0,0.0,0.0,1.0
Great crop pant,"So i love pilcro, i wear them all the time and usually size down because they ""grow"" after wearing them. i tried on my usual size in these and felt like they are too tight, not sure if they will get any looser. the material feels really good, lightweight and the stripes are subtle but cute. not sure if i'll keep them or maybe size up,",4.0,Pants,0.0,1.0,0.0,1.0,0.0
Love this dress and color!,"This is an adorable dress - I love the off the shoulder look. I originally ordered this in a medium, but sent it back and ordered the small, which fit better. The bust is very stretchy and the bottom is loose, so if you have a bigger bust you don't need to size up. Love the blue color and the material is nicer than I thought it would be. Can't wait to wear it at the beach. For reference my chest is 36.5 (34DD) and hips 36.",5.0,Dresses,1.0,1.0,1.0,0.0,0.0
Stinky,Terrible chemical smell. Sweater was rough and made out of something else than yarn,2.0,Sweaters,1.0,0.0,0.0,1.0,0.0
Beautiful Dress True to Size!,I am 5’6 and 185 lbs and a large which is my normal size I get fit me perfectly! It is very flattering and the length went right above my ankles,5.0,Dresses,0.0,1.0,0.0,0.0,0.0
Label falling off and pilling already,"After one wear The rubber label on the shorts started coming off, and it’s pilling between the thighs",3.0,Shorts,0.0,0.0,0.0,0.0,1.0
Flattering and comfy.,Love the paisley print. Dress is flattering and versatile.  It can be worn casually in the day or for an evening out.,5.0,Dresses,0.0,1.0,0.0,0.0,0.0
Extremely flattering,Love this dress! It is super flattering on.,5.0,Dresses,0.0,1.0,0.0,0.0,0.0
Weak stitching,The stitching is coming undone. The zipper failed…,3.0,Shorts,0.0,0.0,0.0,0.0,1.0
runs small,"runs way smaller than expected, size up at least 2 sizes",1.0,Dresses,0.0,1.0,0.0,0.0,0.0
See-through and bulky pockets,"I wanted to love the dress due to reviews. I'm a small or medium depending on item. I ordered a small. Dress was not flattering and somewhat big, I could see my undergarments and the pockets right through the dress, and pockets were bulky and unflattering as well.. I was going to try another color but I got it for $23 and now it's back to $36.",2.0,Dresses,0.0,1.0,0.0,0.0,0.0
Absolutely Stunning 🤩,So beautiful! I received many compliments as well. 💗,5.0,Dresses,0.0,0.0,0.0,0.0,0.0
Comfortable,Perfect for a party or casual dining,4.0,Dresses,0.0,0.0,0.0,0.0,0.0
The little black dress,Prefect fit nice and got so many compliments,5.0,Dresses,0.0,1.0,0.0,0.0,0.0
Great dress but not in green,"Beautiful dress. good quality. tts. i'm 5 feet 120 lbs. ordered my small petite. no issues. however, the green is very bright. the deal killer for me was when my hub said it looked like a starbucks barista's apron! it's going back. i marked yes if you plan on purchasing a black dress it's a yes.",3.0,Dresses,0.0,0.0,1.0,0.0,0.0
Blue stripe is pale! :(,"I bought this in the blue stripe and the color is not what is shown at all! the photo shows a bright, vibrant blue and white stripe top. i got a white and very light pastel blue stripe top. so disappointed because the top doesn't have that wow look as shown in the photo. however, it goes well with blue jeans even in the lighter shade of blue.

and, the fabric is nice and cool for hot summer days.",4.0,Blouses,1.0,0.0,1.0,0.0,0.0
REALLY heavy,"The size was fine, but the material was SO heavy!  As soon as I took it out of the bag, I was thrown by the weight.  Then when I put it on, with the wrap, the weight all fell to the bottom of my body.  It wrapped correctly, but because I am small-chested, this dress looked and felt way too bottom heavy.  I did not like the material at all.",1.0,Dresses,1.0,1.0,0.0,0.0,0.0
Design too fluorescent,I loved the lavender color on the cape. it was soft and comfortable. but the design on the front ruined it for me. it took me all of 1 minute to know it was going back. i clicked i would recommend to others as it is nicely made and i guess just not my taste as far as the colors an,3.0,Lounge,0.0,0.0,1.0,1.0,0.0
Unacceptable,This is how I came home and found my order 😡😡,1.0,Pants,0.0,0.0,0.0,0.0,0.0
Excellent,Play golf,5.0,Pants,0.0,0.0,0.0,0.0,0.0
Very pretty,"This is a very pretty skirt and the colors are better in real life. sizing was mostly true to size for me, slightly tight in the waist but i have a thicker waist compared to my hips. i'm 5'7 and 138# and ordered a size 4 (i usually size up to a 6 with retailer pencil skirts.) a 6 probably would have fit as well, especially in the waist but didn't want it too big in the hips. length was perfect, to my knees.",5.0,Skirts,0.0,1.0,0.0,0.0,0.0
Ig brought me here,"Love the way this top layers under my jackets and sweaters! so romantic and pretty. i am not experiencing the over pouf at the waist that a previous reviewer complained about. the fabric is slightly itchy and the top shipped to my house has misshapen shoulder bumps from the store hanger. all the beautiful styling pics done by retailer employees on ig is what made me want this blouse. whatever is going on with the model shot really really really does not represent how cute this top looks. in fact,",4.0,Blouses,0.0,0.0,0.0,1.0,0.0
White Sweater,"Was having trouble finding a white sweater. This Nautica sweater was perfect. Perfect color and weight, combo cotton and polyester.",5.0,Sweaters,1.0,0.0,1.0,0.0,0.0
It’s nice,"Yeah this is a nice dress and it’s flattering, but you literally have to pull it down every 5 seconds and the extra fabric does bunch up when it rides up, which makes it look like a maternity dress and looks quite stupid when you’re not pregnant. It’s also longer than the picture and measurements. I’m almost 5’7 and it goes passed my knees, which I don’t really like. Will probably wear it a few times but that did disappoint me.",4.0,Dresses,0.0,1.0,0.0,0.0,0.0
Great price and fit,Just what I expected,5.0,Jeans,0.0,0.0,0.0,0.0,0.0
Perfect!,"This top is great - lightweight and flattering.
i can wear it to work with skinny white pants or to the grocery store with jeans. 
i purchased another color because i love the first i got so much.",5.0,Knits,1.0,0.0,1.0,0.0,0.0
Material is wonderful!,Love this dress!! Fits true to size washes nicely very flattering!,5.0,Dresses,0.0,1.0,0.0,0.0,0.0
I expected a new dress but it says on the wrapper that this is its second life,Mixed feelings - I expected a new dress and on the wrapper is a sticker thanking me for giving this product a second life. I would have been okay had that been obvious when I ordered. So I am not sure what I will do. Otherwise I like the dress.,3.0,Dresses,0.0,0.0,0.0,0.0,0.0
Lovely but not awesome,"This dress is a bit scratchy, but overall i liked the fabric well enough. on someone blond and fair, the peach color washes out a bit.",3.0,Dresses,1.0,0.0,1.0,1.0,0.0
Great dress,I absolutely love everything about this dress. it can be dressed up or down. no complaints.,5.0,Dresses,0.0,0.0,0.0,0.0,0.0
Cute and cozy but poor quality fabric,"This jacket is cozy, warm, and very cute, but after the 1st washing (according to the manufacturer's instructions) it began to pill and has worsened each time.",3.0,Jackets,0.0,0.0,0.0,0.0,1.0
"Cute, with reservations","First one i received was ripping apart already in the sleeve opening at wrist (warning: very tight sleeves!), plus 2"" of the green shiny band detail was missed altogether by whomever sewed this particular one- just left unstitched. and long threads were hanging in several places. this is by no means a quality piece and is severely overpriced. on the positive side, it is very cute and i'm keeping the replacement one, but know that it is also delicate. after one use, there is a snag on the inside",3.0,Lounge,0.0,0.0,0.0,0.0,1.0
